Temperature,Soil,Light,Humid,Rainfall,Label
27.13,2,1,56.52,120.57,Bayam Hijau
29.3,2,1,50.11,153.08,Bayam Hijau
27.84,2,1,55.23,101.82,Bayam Hijau
27.08,2,1,57.8,124.5,Bayam Hijau
25.51,2,1,50.48,160.8,Bayam Hijau
28.4,3,1,59.67,138.94,Bayam Hijau
25.69,3,1,55.72,149.84,Bayam Hijau
31.59,1,1,50.34,129.25,Bayam Hijau
32.53,2,1,52.47,165.04,Bayam Hijau
24.98,2,1,60.49,132.39,Bayam Hijau
30.29,1,1,56.41,87.12,Bayam Hijau
26.88,2,1,51.18,99.83,Bayam Hijau
27.38,2,1,53.16,117.06,Bayam Hijau
32.03,2,1,55.02,133.44,Bayam Hijau
20.92,2,1,50.23,147.66,Bayam Hijau
21.13,2,1,54.53,117.76,Bayam Hijau
20.26,2,1,55.38,142.51,Bayam Hijau
30.82,2,1,52.68,149.16,Bayam Hijau
30.12,2,1,56.48,109.77,Bayam Hijau
31.31,3,1,58.29,164.94,Bayam Hijau
32.72,2,1,52.59,137.47,Bayam Hijau
30.39,2,1,56.83,156.75,Bayam Hijau
26,1,1,57.04,129.66,Bayam Hijau
30.15,2,1,60.43,145.14,Bayam Hijau
21.54,1,1,58.56,147.55,Bayam Hijau
28.32,2,1,59.33,159.02,Bayam Hijau
21.86,2,1,55.39,95.86,Bayam Hijau
32.28,3,1,52.04,129.86,Bayam Hijau
26.78,1,1,60.95,119.03,Bayam Hijau
25.39,2,1,51.42,160.27,Bayam Hijau
23.44,1,1,55.19,92.09,Bayam Hijau
30.07,2,1,50.75,165.22,Bayam Hijau
25.93,2,1,60.38,156.29,Bayam Hijau
27.39,2,1,60.61,89.48,Bayam Hijau
20.24,2,1,57.91,124.25,Bayam Hijau
28.03,1,1,53.85,143.13,Bayam Hijau
27.96,2,1,52.8,144.85,Bayam Hijau
28.02,2,1,52.92,158.88,Bayam Hijau
32.27,2,1,51.4,149.99,Bayam Hijau
28.86,3,1,55.78,109.24,Bayam Hijau
24.67,1,1,51.56,124.87,Bayam Hijau
25.68,2,1,53.48,141.82,Bayam Hijau
29.07,2,1,56.89,94.87,Bayam Hijau
20.78,2,1,58,99.5,Bayam Hijau
28.67,3,1,50.27,123.42,Bayam Hijau
28.72,1,1,54.73,108.19,Bayam Hijau
22.73,2,1,57.17,155.22,Bayam Hijau
21.68,3,1,59.39,132.19,Bayam Hijau
24.1,2,1,55.23,112.39,Bayam Hijau
24.73,2,1,60.66,154.07,Bayam Hijau
27.41,2,1,52.92,150.41,Bayam Hijau
25.7,1,1,50.15,166.53,Bayam Hijau
32.85,2,1,55.32,153.94,Bayam Hijau
21.33,2,1,52.82,117.87,Bayam Hijau
22.72,2,1,59.06,93.96,Bayam Hijau
22.1,1,1,52.56,153.39,Bayam Hijau
28.49,2,1,53.42,88.31,Bayam Hijau
23.29,2,1,58.7,112.52,Bayam Hijau
26.06,2,1,57.87,159.98,Bayam Hijau
23.18,3,1,56.14,163.4,Bayam Hijau
22.07,2,1,57.75,136.71,Bayam Hijau
21.43,1,1,54.61,140.72,Bayam Hijau
28.53,3,1,50.06,86.87,Bayam Hijau
21.8,3,1,50.12,126.21,Bayam Hijau
22.56,2,1,55.62,128.91,Bayam Hijau
24.79,3,1,50.92,111.67,Bayam Hijau
30.67,2,1,50.56,89.05,Bayam Hijau
21.26,3,1,60.62,102.41,Bayam Hijau
30.89,3,1,59.45,113.16,Bayam Hijau
21.25,3,1,51.67,119.59,Bayam Hijau
32.69,3,1,50.01,132.58,Bayam Hijau
26.09,1,1,60.36,143.53,Bayam Hijau
32.7,1,1,53.06,109.8,Bayam Hijau
27.86,2,1,52.04,110.75,Bayam Hijau
29.61,3,1,57.61,84.97,Bayam Hijau
20.51,2,1,51.2,86.74,Bayam Hijau
23.68,1,1,52.91,104.82,Bayam Hijau
21.56,3,1,60.73,145.02,Bayam Hijau
23.85,2,1,57.03,135.69,Bayam Hijau
21.54,3,1,55.73,147.48,Bayam Hijau
24.13,1,1,54.38,147.41,Bayam Hijau
25.39,2,1,58.52,154.72,Bayam Hijau
20.83,2,1,51.55,143.36,Bayam Hijau
29,1,1,60.64,164.92,Bayam Hijau
27.37,2,1,59.47,158.24,Bayam Hijau
23.45,2,1,56.79,132.23,Bayam Hijau
26.8,1,1,50.47,132.35,Bayam Hijau
21.22,1,1,57.71,86.19,Bayam Hijau
27.49,1,1,60.05,166.55,Bayam Hijau
32.08,3,1,55.77,94.3,Bayam Hijau
24.14,2,1,53.9,145.03,Bayam Hijau
28.68,3,1,51.32,151.75,Bayam Hijau
21.71,2,1,58.3,114.42,Bayam Hijau
29.31,2,1,59.74,99.74,Bayam Hijau
23.76,2,1,51.1,91.56,Bayam Hijau
22.38,3,1,58.35,145.72,Bayam Hijau
27.62,2,1,50.19,121.05,Bayam Hijau
20.26,2,1,60.64,142.81,Bayam Hijau
30.78,2,1,56.77,159.62,Bayam Hijau
20.06,3,1,56.08,95.55,Bayam Hijau
28.81,1,1,53.26,159.93,Bayam Hijau
23.51,2,1,60.22,117.63,Bayam Hijau
29.56,2,1,52.92,108.77,Bayam Hijau
32.51,1,1,59.11,161.92,Bayam Hijau
23.23,2,1,60.84,165.89,Bayam Hijau
27.49,2,1,58.62,99.91,Bayam Hijau
27.7,2,1,55.71,138.07,Bayam Hijau
27.44,2,1,50.73,92.21,Bayam Hijau
22.9,2,1,55.2,137.58,Bayam Hijau
32.39,2,1,54.82,152.28,Bayam Hijau
25.81,2,1,52.23,140.38,Bayam Hijau
31,2,1,54.66,118.11,Bayam Hijau
29.09,3,1,53.94,115.25,Bayam Hijau
23.87,1,1,51.8,116.09,Bayam Hijau
30.58,1,1,54.86,132.48,Bayam Hijau
25.15,2,1,52.89,156.8,Bayam Hijau
31.45,2,1,55.74,160.76,Bayam Hijau
27.56,2,1,50.39,87.79,Bayam Hijau
31.46,2,1,59.97,98.47,Bayam Hijau
29,3,1,58.98,92.68,Bayam Hijau
29.43,2,1,56.08,99.44,Bayam Hijau
26.52,2,1,59.37,112.22,Bayam Hijau
32.43,2,1,60.59,125.54,Bayam Hijau
28.37,3,1,51.22,135.79,Bayam Hijau
25.51,3,1,56.94,144.35,Bayam Hijau
27.88,3,1,60.98,157.51,Bayam Hijau
20.25,2,1,60.87,165.76,Bayam Hijau
23.92,2,1,56.64,138.57,Bayam Hijau
28.58,2,1,51.41,153.78,Bayam Hijau
23.77,1,1,56.42,148.17,Bayam Hijau
28.03,1,1,50.02,108.96,Bayam Hijau
25.57,2,1,52.19,156.31,Bayam Hijau
21.76,2,1,60.52,86.89,Bayam Hijau
23.88,2,1,53.63,83.36,Bayam Hijau
27.41,2,1,57.02,106.14,Bayam Hijau
27.68,3,1,53.09,121.84,Bayam Hijau
27.47,1,1,60.43,136.53,Bayam Hijau
28.49,1,1,58.01,91.81,Bayam Hijau
28.48,2,1,53.63,139.42,Bayam Hijau
25.61,2,1,58.71,150.15,Bayam Hijau
31.66,3,1,51.19,98.77,Bayam Hijau
24.78,3,1,54.32,117.93,Bayam Hijau
25.67,3,1,52.43,126.67,Bayam Hijau
31.6,2,1,57.52,120.98,Bayam Hijau
30.48,2,1,51.13,149.99,Bayam Hijau
29.15,1,1,54.37,163.38,Bayam Hijau
21.3,2,1,53.04,149.91,Bayam Hijau
31.95,2,1,55.57,89.83,Bayam Hijau
29.29,3,1,53.85,150.41,Bayam Hijau
32.99,1,1,57.77,88.88,Bayam Hijau
21.94,2,1,50.27,103,Bayam Hijau
31.29,2,1,56.97,96.09,Bayam Hijau
22.11,2,1,52.54,99.79,Bayam Hijau
28,1,1,52.96,127.36,Bayam Hijau
21.61,3,1,58.8,139.31,Bayam Hijau
31.02,1,1,60.51,122.53,Bayam Hijau
30.5,2,1,53.48,163.31,Bayam Hijau
27.4,1,1,59.09,103.36,Bayam Hijau
25.29,2,1,51.14,146.93,Bayam Hijau
20.9,3,1,56.97,155.85,Bayam Hijau
29.07,2,1,58.26,130.17,Bayam Hijau
25.9,3,1,51.72,121.35,Bayam Hijau
29.39,1,1,54.69,133.02,Bayam Hijau
31.26,2,1,59.82,119.07,Bayam Hijau
32.68,2,1,51.14,129.6,Bayam Hijau
31.13,2,1,50.2,118.08,Bayam Hijau
20.15,2,1,56.5,116.71,Bayam Hijau
24.68,2,1,54.79,141.28,Bayam Hijau
29.49,2,1,58.79,91.07,Bayam Hijau
22.23,2,1,60.16,97.21,Bayam Hijau
26.77,2,1,53.29,154.27,Bayam Hijau
20.71,2,1,54.27,147.59,Bayam Hijau
22.6,2,1,55.35,106.79,Bayam Hijau
20.24,1,1,56.47,114.77,Bayam Hijau
30.32,3,1,60.82,160.51,Bayam Hijau
22.91,2,1,57.67,151.51,Bayam Hijau
24.49,2,1,54.29,134.53,Bayam Hijau
32.07,2,1,52.9,101.79,Bayam Hijau
29.16,1,1,60.39,87.02,Bayam Hijau
20.41,2,1,51.49,119.27,Bayam Hijau
22.14,2,1,57.92,139.39,Bayam Hijau
28.08,2,1,60.18,152.38,Bayam Hijau
27.5,1,1,57.31,154.39,Bayam Hijau
23.09,2,1,54.65,86.06,Bayam Hijau
32.14,1,1,52.19,103.68,Bayam Hijau
27.98,2,1,54.04,111.59,Bayam Hijau
26.96,2,1,57.78,99.06,Bayam Hijau
27.67,2,1,57.14,150.25,Bayam Hijau
29.49,3,1,60.21,147.29,Bayam Hijau
24.06,1,1,59.54,126.4,Bayam Hijau
25.18,3,1,58.98,165.25,Bayam Hijau
22.73,1,1,60.03,95.34,Bayam Hijau
22.42,2,1,53.04,158.31,Bayam Hijau
32.28,2,1,54.06,93.04,Bayam Hijau
29.61,2,1,54.18,96.93,Bayam Hijau
26.38,2,1,56.16,141.35,Bayam Hijau
22.96,1,1,57.35,92.46,Bayam Hijau
23.31,1,1,53.15,130.49,Bayam Hijau
20.75,2,1,50.21,118.35,Bayam Hijau
25.65,3,1,54.39,144.04,Bayam Hijau
24.05,2,1,53.39,158.39,Bayam Hijau
29.05,2,1,60.36,147.49,Bayam Hijau
24.91,1,1,59.77,154.14,Bayam Hijau
22.33,1,1,59.46,86.08,Bayam Hijau
20.32,2,1,57.18,109.18,Bayam Hijau
20.87,1,1,53.79,126.29,Bayam Hijau
28.83,2,1,56.04,118,Bayam Hijau
25.9,1,1,58.97,102.6,Bayam Hijau
26.98,1,1,51.08,108.99,Bayam Hijau
31.66,3,1,58.81,162.12,Bayam Hijau
32.87,1,1,50.45,107.85,Bayam Hijau
22.82,2,1,58.98,112.82,Bayam Hijau
28.62,2,1,58.88,83.64,Bayam Hijau
23.42,2,1,50.56,153.76,Bayam Hijau
20.27,1,1,56.9,96.23,Bayam Hijau
29.86,1,1,55.53,100.34,Bayam Hijau
24.16,2,1,51.87,104.6,Bayam Hijau
24.99,2,1,51.63,157.05,Bayam Hijau
27.65,2,1,58.51,100.54,Bayam Hijau
30.8,2,1,56.24,149.8,Bayam Hijau
28.18,2,1,60.81,150.67,Bayam Hijau
31.34,3,1,60.8,160.59,Bayam Hijau
23.56,1,1,60.92,92.96,Bayam Hijau
30.37,3,1,51.3,101.44,Bayam Hijau
22.41,2,1,60.32,145.24,Bayam Hijau
32.39,3,1,52.69,99.66,Bayam Hijau
28.94,2,1,55.04,107.19,Bayam Hijau
22.8,3,1,58.33,97.23,Bayam Hijau
32.32,2,1,52.24,97.72,Bayam Hijau
29.5,2,1,56.23,123.46,Bayam Hijau
23.3,2,1,52.04,92.47,Bayam Hijau
22.77,2,1,51.15,110.14,Bayam Hijau
26.74,2,1,51.28,118.88,Bayam Hijau
20.33,2,1,53.93,85.38,Bayam Hijau
22.7,2,1,50.05,115.69,Bayam Hijau
25.52,2,1,54.67,91.17,Bayam Hijau
24.86,2,1,57.31,124.46,Bayam Hijau
26.03,2,1,54.42,152.15,Bayam Hijau
