,Status,City
0,success,Jakarta
1,success,Surabaya
2,success,Bandung
3,success,Bekasi
4,success,Tangerang
5,success,Medan
6,success,Makassar
7,success,Semarang
8,success,Palembang
9,city not found,Cilacap
10,current,Bandar Lampung
11,success,Padang
12,success,Pekanbaru
13,success,Denpasar
14,success,Samarinda
15,success,Banjarmasin
16,success,Pontianak
17,success,Serang
18,success,Jambi
19,success,Manado
20,success,Kupang
21,success,Yogyakarta
22,success,Jayapura
23,success,Mataram
24,success,Ambon
25,success,Bengkulu
26,success,Palu
27,success,Kendari
28,success,Jember
29,success,Majene
30,success,Palangkaraya
31,success,Banda Aceh
32,success,Singaraja
33,success,Tanjungpinang
34,success,Martapura
35,success,Gorontalo
36,current,Prabumulih
37,success,Banjar
38,current,Pinrang
39,success,Banyuwangi
40,city not found,Gunungsitoli
41,city not found,Pageralam
42,success,Pangkalpinang
43,success,Indramayu
44,success,Pati
45,current,Raba
46,success,Maumere
47,current,Biak
48,success,Tomohon
49,success,Sampit
50,success,Pariaman
51,success,Sumenep
52,success,Watampone
53,success,Ende
54,success,Tuban
55,success,Manokwari
56,success,Lahat
57,success,Tanjungpandan
58,success,Ruteng
59,success,Waingapu
60,success,Luwuk
61,success,Amahai
62,success,Poso
63,success,Nabire
64,success,Rantepao
65,success,Kotabumi
66,city not found,Kuala Kapuas
67,success,Praya
68,success,Merauke
69,current,Makale
70,city not found,Tarutung
71,current,Bumiayu
72,current,Gadang
73,current,Kalisari
74,current,Ploso
75,current,Gubengairlangga
76,city not found,Gubengkertajaya
77,current,Panjangjiwo
78,current,Kedungasem
79,current,Wonorejo
80,current,Mojo
81,current,Medokanayu
82,current,Prapen
83,current,Jagirsidosermo
84,current,Tenggilis Lama
85,current,Tambakrejo
86,current,Labansari
87,current,Brongkalan
88,current,Mulyorejo
89,current,Semampir
90,current,Pacarkeling
91,city not found,Kenjeran
92,current,Kepuh
93,current,Gununganyar
94,current,Gununganyartambak Tengah
95,current,Selagalas
96,current,Sayang Lauq
97,current,Karangkecicang
98,current,Sindu
99,current,Babakan Barat
100,current,Karangparwa
101,current,Banjar Kayangan
102,current,Banjar Batanpoh
103,current,Karyadharma
104,current,Banjar Medura
105,current,Banjar Paangkelod
106,city not found,Banjar Pemangkalan
107,current,Banjar Kertasari
108,current,Dajan Tangluk
109,current,Banjar Taman
110,current,Banjar Kertajiwa
111,city not found,Banjar Batur
112,current,Banjar Jabejero
113,current,Dumandesa
114,city not found,Kenali Asam
115,current,Klampok
116,current,Semampirbarat
117,current,Kedungpeluk
118,current,Buncitan
119,current,Segorotambak
120,current,Dukuhgisikcemandi
121,current,Banjarkemuning
122,current,Candisari
123,current,Sedatigede
124,current,Wadungasri
125,current,Damarsi
126,current,Kalanganyartambak
127,current,Pepe
128,current,Sedatiagung
129,current,Dares
130,current,Tambaksumur
131,current,Berbek
132,current,Sedati
133,city not found,Tambaksawah
134,current,Sawohan
135,current,Wedoro
136,success,Sidoarjo
137,current,Dukuh Tengah
138,current,Tambakoso
139,current,Kedaton
140,current,Panjang
141,current,Gunungmuncang
142,current,Cikondang
143,current,Cibogor
144,success,Jatiwangi
145,current,Rancageneng Satu
146,current,Panyarang
147,current,Mancogeh
148,current,Cibangun Tengah
149,current,Gegernoong
150,current,Sukamaju
151,current,Condong
152,current,Rancakukun
153,current,Cibeureum
154,current,Cibeureum
155,current,Sengkol
156,current,Tugusirna
157,current,Cigantang Hilir
158,current,Bantar
159,current,Kahuripan
160,current,Panututan
161,current,Kebontiwu
162,current,Pasanggrahan
163,success,Kawalu
164,current,Lemburwarung
165,current,Gunungkoneng
166,current,Argasari
167,current,Kosangka
168,current,Jati
169,current,Tamansari
170,current,Sambongpari
171,current,Gunungbatu
172,current,Sukasari
173,current,Kotabaru
174,current,Bungursari
175,current,Bantargedang
176,current,Bojongnangka
177,current,Siluman
178,current,Citamiang
179,current,Sukagenah
180,current,Awipari Tengah
181,current,Tambir
182,success,Simpang
183,current,Pasirjaya
184,current,Cilingga
185,current,Pakemitan
186,current,Gunungsubang
187,current,Sukarindik
188,current,Ampera
189,current,Tawangsari
190,current,Sindangpalay
191,current,Yudanagara
192,current,Rahayu Dua
193,current,Sindanggalih
194,current,Leuwidahu
195,current,Sudimara
196,current,Cianjur Kidul
197,current,Saripin
198,current,Margalaksana
199,current,Nagarasari
200,current,Kadupandak
201,current,Nyemplong
202,current,Cikalang
203,current,Cibeuti
204,current,Awilega
205,current,Dadaha
206,current,Sukamaju Kidul
207,current,Tigaraksa
208,current,Gunungpeundeuy
209,current,Parakanhonje Wetan
210,current,Kebonsari
211,current,Ciruas
212,current,Karangdawa Barat
213,current,Padukan
214,current,Pekijing
215,success,Bandung
216,success,Cikarang
217,success,Batang
218,current,Tambakbaya
219,city not found,Tabun
220,current,Manutapen
221,city not found,Oebufu
222,city not found,Nunbaunsabu
223,city not found,Airsagu
224,current,Oetete
225,current,Fatufeto
226,city not found,Todekisar
227,current,Naimata
228,city not found,Manulai
229,city not found,Nunutba
230,city not found,Nunbaundelha
231,current,Fontein
232,current,Merdeka
233,current,Oebobo
234,current,Kuanino
235,current,Nunhila
236,current,Namosain
237,city not found,Kelapalima
238,current,Airnona
239,city not found,Luti
240,current,Bonipoi
241,current,Kolhua
242,city not found,Naikoten Dua
